#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    AGN_flag   n_UV_filt   L_2800_sun_obs   L_2800_sun_SED
aegis   17630   1.34710    9.13    0.22    -2.15     0.27   -2.10     7.98000e-17  1.09000e-17      287.000  2.07000e-18  9.76000e-18  2.85000e-17  5.17000e-18      75.1000      0.00000  4.50000e-19     -1.00000     -1.00000       0       3  5.21937e+09  5.35859e+09
aegis   17665   1.38930    9.42    0.53    -1.59     0.27   -1.57     3.46000e-17  1.15000e-17      56.0000      0.00000  7.63000e-19  4.80000e-17  7.29000e-18      485.000  1.36000e-17  6.10000e-18     -1.00000     -1.00000       0       3  5.91713e+09  6.32284e+09
aegis   17677   1.40990    9.91    0.45    -1.41     0.28   -1.63     3.20000e-17  1.45000e-17      91.8000      0.00000  9.86000e-19  4.41000e-17  1.01000e-17      207.000  2.72000e-19  8.22000e-18     -1.00000     -1.00000       0       4  5.49621e+09  6.02440e+09
aegis   17703   1.34830    8.56    0.62    -2.01     0.27   -1.82     3.86000e-17  8.81000e-18      161.000  2.41000e-18  8.00000e-18  2.21000e-17  4.29000e-18      89.4000  4.21000e-18  4.55000e-18     -1.00000     -1.00000       0       3  5.43429e+09  5.97647e+09
aegis   17744   1.35280    9.21    0.40    -1.45     0.30   -1.51     4.22000e-17  1.16000e-17      135.000      0.00000  8.12000e-19  1.87000e-17  5.92000e-18      69.8000  1.29000e-17  5.91000e-18     -1.00000     -1.00000       0       3  3.39786e+09  3.43897e+09
aegis   17820   1.39080    9.13    0.46    -1.21     0.30   -1.48     3.40000e-17  1.05000e-17      98.7000  3.33000e-18  9.59000e-18  1.87000e-17  5.44000e-18      60.8000  1.40000e-17  5.75000e-18     -1.00000     -1.00000       0       3  4.40627e+09  4.09903e+09
aegis   17841   1.48300   10.72    1.03    -1.38     0.27   -1.22     3.07000e-17  2.27000e-17      25.4000  7.67000e-17  2.77000e-17  1.82000e-16  3.11000e-17      164.000      0.00000  6.10000e-19     -1.00000     -1.00000       0       4  1.95935e+10  2.28839e+10
aegis   17862   1.35600    9.00    0.35    -1.43     0.29   -1.40     4.43000e-17  1.26000e-17      110.000  2.91000e-17  1.22000e-17  4.48000e-17  7.89000e-18      192.000  1.59000e-17  7.11000e-18     -1.00000     -1.00000       0       3  3.80736e+09  3.86263e+09
aegis   17937   1.35900    9.66    0.60    -1.44     0.27   -1.28     2.16000e-17  1.02000e-17      40.1000  4.52000e-18  9.92000e-18  4.87000e-17  6.79000e-18      145.000  9.56000e-20  5.40000e-18     -1.00000     -1.00000       0       3  6.64628e+09  7.10445e+09
aegis   18003   1.50120    8.53    0.44    -2.42     0.27   -2.05     6.47000e-17  8.15000e-18      317.000  8.72000e-18  6.43000e-18  3.52000e-17  4.76000e-18      5950.00  4.50000e-18  1.17000e-17     -1.00000     -1.00000       0       4  4.97608e+09  5.45099e+09
aegis   18373   1.29580    8.74    0.28    -1.84     0.28   -1.76     1.14000e-16  8.86000e-18      1590.00  2.74000e-17  9.11000e-18  4.77000e-17  3.84000e-18      1030.00  3.39000e-18  4.06000e-18     -1.00000     -1.00000       0       3  4.19643e+09  4.42450e+09
aegis   18539   1.45780    8.57    0.04    -2.01     0.30   -2.14     6.42000e-17  1.27000e-17      330.000  7.71000e-18  1.07000e-17  2.55000e-17  7.00000e-18      152.000  3.11000e-18  7.88000e-18     -1.00000     -1.00000       0       4  2.98272e+09  3.00985e+09
aegis   18598   1.38870    9.20    0.66    -2.14     0.26   -2.01     8.96000e-17  1.57000e-17      201.000  3.80000e-18  1.46000e-17  4.29000e-17  7.90000e-18      222.000  1.13000e-17  8.26000e-18     -1.00000     -1.00000       0       3  1.22919e+10  1.32667e+10
aegis   18669   1.40070    9.37    0.61    -1.01     0.29   -1.21     8.24000e-17  1.30000e-17      510.000  3.36000e-17  1.16000e-17  6.54000e-17  7.67000e-18      580.000  1.28000e-17  6.61000e-18     -1.00000     -1.00000       0       3  5.51042e+09  5.45700e+09
aegis   18841   1.47260    8.98    0.05    -2.04     0.29   -2.16     3.06000e-17  8.35000e-18      357.000      0.00000  4.92000e-19  2.65000e-17  6.43000e-18      536.000  2.85000e-18  7.71000e-18     -1.00000     -1.00000       0       4  3.45804e+09  3.50779e+09
aegis   18930   1.41530    9.28    0.47    -2.15     0.27   -1.98     6.88000e-17  1.03000e-17      332.000  1.01000e-17  8.60000e-18  3.20000e-17  5.53000e-18      102.000  2.69000e-18  5.35000e-18     -1.00000     -1.00000       0       4  8.46913e+09  8.98594e+09
aegis   18959   1.39740   10.00    0.93    -1.81     0.26   -1.69     4.53000e-17  2.46000e-17      70.5000  1.69000e-17  2.44000e-17  8.41000e-17  1.71000e-17      176.000  3.29000e-17  1.45000e-17     -1.00000     -1.00000       0       3  1.92687e+10  2.01058e+10
aegis   19051   1.36010   10.22    1.12    -1.24     0.27   -1.23     4.57000e-17  2.28000e-17      40.3000      0.00000  1.02000e-18  1.37000e-16  1.74000e-17      210.000     -1.00000     -1.00000     -1.00000     -1.00000       0       3  7.26025e+09  7.52081e+09
aegis   19319   1.47770    9.36    0.54    -2.05     0.27   -2.11     1.19000e-16  2.57000e-17      340.000  2.82000e-17  3.08000e-17  1.02000e-16  2.41000e-17      264.000      0.00000  4.82000e-19     -1.00000     -1.00000       0       4  1.04454e+10  1.08774e+10
aegis   19675   1.48550    9.66    0.57    -1.56     0.27   -1.52     2.06000e-17  8.01000e-18      50.5000      0.00000  5.70000e-19  3.01000e-17  4.99000e-18      52.6000     -1.00000     -1.00000     -1.00000     -1.00000       0       4  7.96001e+09  8.51620e+09
aegis   19714   1.31850   10.56   -0.45     0.95     0.48   -0.43         0.00000  5.41000e-19      0.00000  3.12000e-17  9.71000e-18  2.29000e-17  4.58000e-18      33.7000      0.00000  3.92000e-19     -1.00000     -1.00000       0       3  2.60320e+09  2.72740e+09
aegis   19835   1.42000    9.11    0.24    -1.88     0.30   -2.09     3.43000e-17  1.26000e-17      1190.00  1.86000e-17  1.12000e-17  2.75000e-17  6.53000e-18      419.000  5.28000e-18  7.03000e-18     -1.00000     -1.00000       0       4  5.26424e+09  5.14325e+09
aegis   19936   1.52100    9.30    0.29    -2.02     0.27   -2.15     4.66000e-17  7.29000e-18      269.000  1.48000e-17  6.13000e-18  3.05000e-17  5.77000e-18      274.000     -1.00000     -1.00000     -1.00000     -1.00000       0       4  5.95961e+09  6.00498e+09
aegis   20354   1.36090   10.22    0.97    -0.96     0.26   -1.09     3.88000e-17  1.28000e-17      46.6000  5.15000e-18  1.23000e-17  9.42000e-17  8.64000e-18      132.000  2.89000e-17  7.23000e-18     -1.00000     -1.00000       0       3  1.51156e+10  1.52446e+10
aegis   21225   1.30310    8.26    0.34    -2.22     0.27   -2.30     3.27000e-16  1.21000e-17      556.000  3.94000e-17  1.08000e-17  1.24000e-16  5.40000e-18      373.000  4.51000e-18  4.84000e-18     -1.00000     -1.00000       0       3  6.49418e+09  7.01733e+09
aegis   21587   1.36150    9.51    0.68    -1.85     0.26   -1.56     4.62000e-17  1.16000e-17      148.000  5.05000e-17  1.12000e-17  7.47000e-17  5.69000e-18      327.000  1.80000e-17  5.82000e-18     -1.00000     -1.00000       0       3  1.27509e+10  1.35271e+10
