#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    fsiii_9069    esiii_9069    fsiii_9532    esiii_9532    AGN_flag    grism_flag
Par7   66   1.36750   10.32    2.22   -99.00   -99.00   -99.00     5.36000e-17  2.78600e-17      53.4000      0.00000  3.01356e-17  2.50000e-16  2.10718e-17      323.000  5.03000e-17  1.69706e-17      0.00000  3.12010e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   68   1.10450    9.42    0.93   -99.00   -99.00   -99.00     2.00000e-16  2.80722e-17      172.000  4.40500e-17  2.34759e-17  1.40500e-16  3.11127e-17      143.000  2.42500e-17  3.24563e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   69   0.79760    8.72    0.67   -99.00   -99.00   -99.00     1.28500e-16  2.97733e-17      73.3000  1.06500e-16  3.33781e-17  1.44000e-16  3.00960e-17      179.000  4.80500e-17  2.48316e-17     -1.00000     -1.00000      0.00000  1.52598e-17     -1.00000     -1.00000       0      3.00000
Par7   90   0.82120    8.39    0.37   -99.00   -99.00   -99.00     1.32000e-16  2.68701e-17      205.000  3.36000e-17  2.24860e-17  8.87000e-17  2.02233e-17      214.000      0.00000  2.06823e-17     -1.00000     -1.00000  1.52000e-17  1.58392e-17     -1.00000     -1.00000       0      3.00000
Par7   98   1.36510    9.23    1.13   -99.00   -99.00   -99.00     2.28000e-16  3.16784e-17      112.000  2.75000e-17  3.33754e-17  1.35000e-16  1.86676e-17      223.000  2.91000e-17  1.61220e-17      0.00000  3.00140e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   113   1.35970    9.33    1.00   -99.00   -99.00   -99.00     8.59000e-17  2.24860e-17      66.8000  4.95000e-19  2.24860e-17  1.07000e-16  1.40149e-17      250.000  1.04000e-17  1.14693e-17  5.73000e-17  2.07889e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   117   0.54070    8.49    0.35   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.17000e-16  2.96985e-17      756.000  6.38000e-17  2.55973e-17     -1.00000     -1.00000  5.02000e-18  1.18511e-17  1.24000e-17  2.94156e-17       0      3.00000
Par7   156   1.19300    8.68    0.41   -99.00   -99.00   -99.00     1.31000e-16  1.85262e-17      495.000  2.13000e-17  1.24875e-17  6.29000e-17  1.47078e-17      270.000  2.11000e-17  1.41421e-17  8.23000e-18  5.23259e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   158   1.21550    8.29    0.33   -99.00   -99.00   -99.00     1.26000e-16  1.56400e-17      300.000  2.57500e-17  1.02743e-17  5.39500e-17  1.13370e-17      492.000  1.91000e-17  1.12029e-17  3.19500e-17  3.88254e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   159   1.36480    8.90    0.61   -99.00   -99.00   -99.00     1.52000e-16  2.07889e-17      1010.00  1.10000e-17  1.81019e-17  4.77000e-17  1.00126e-17      175.000      0.00000  1.16608e-17  3.61000e-18  1.71120e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   290   2.04630    8.20    0.21   -99.00   -99.00   -99.00     1.18000e-16  1.39300e-17      1480.00  2.07000e-17  9.89949e-18     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.09000e-18  2.13546e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par7   342   2.19390    9.23    0.45   -99.00   -99.00   -99.00     6.72000e-17  1.79605e-17      514.000  6.99000e-19  1.31239e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  4.78000e-17  2.10718e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   10   0.58185    9.85    1.17   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  5.66000e-16  3.01935e-17      99.7500  1.27000e-16  2.51746e-17     -1.00000     -1.00000  1.17650e-17  1.98010e-17     -1.00000     -1.00000       0      3.00000
Par8   27   1.36330   10.19    1.91   -99.00   -99.00   -99.00     1.17000e-16  3.97394e-17      89.6000  2.89000e-17  4.18607e-17  2.37000e-16  2.26274e-17      228.000  3.47000e-17  2.26274e-17  3.88000e-17  2.65872e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   41   1.37040   10.35    2.26   -99.00   -99.00   -99.00         0.00000  4.56833e-17      0.00000  1.10450e-16  5.95454e-17  3.29500e-16  3.87981e-17      249.000  4.30000e-17  2.46000e-17  1.11500e-16  3.51518e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   47   0.52480    8.85    0.41   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.40000e-16  2.00818e-17      92.1000  3.42000e-17  1.56978e-17     -1.00000     -1.00000      0.00000  3.06155e-17      0.00000  2.89360e-17       0      3.00000
Par8   75   1.14520    9.70    1.72   -99.00   -99.00   -99.00     4.45000e-17  1.48492e-17      55.2000      0.00000  1.59227e-17  1.09000e-16  2.48902e-17      246.000  1.72000e-17  2.03647e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   85   1.90530    9.37    1.34   -99.00   -99.00   -99.00     2.53000e-16  2.17789e-17      507.000  2.92000e-17  1.68291e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  6.38000e-17  9.97021e-18     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   86   1.84630    9.63    1.47   -99.00   -99.00   -99.00     8.17000e-17  1.86676e-17      167.000  2.85000e-17  1.56978e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  5.56000e-17  1.01258e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   94   1.84470    9.76    1.74   -99.00   -99.00   -99.00     1.03000e-16  1.71120e-17      88.2500  2.14000e-17  1.27350e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  4.61500e-17  7.81353e-18     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   130   1.67050    8.86    0.85   -99.00   -99.00   -99.00     2.84000e-16  1.85262e-17      1180.00  3.65000e-17  1.42836e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  8.62000e-17  9.19239e-18     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   136   1.50120    9.30    1.16   -99.00   -99.00   -99.00     2.39000e-16  2.43953e-17      727.000  3.22500e-17  2.00818e-17  1.49000e-16  1.83848e-17      736.000  1.46500e-17  3.52847e-17  7.76500e-17  1.28906e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   211   1.73790    9.03    0.66   -99.00   -99.00   -99.00     8.24000e-17  1.72534e-17      826.000  1.90000e-17  1.34492e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  3.42000e-17  8.64084e-18     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   240   2.09135    8.94    0.69   -99.00   -99.00   -99.00     9.12000e-17  1.66931e-17      674.000  9.89000e-18  1.29668e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  5.31000e-17  2.42244e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par8   274   2.13810    8.92    0.99   -99.00   -99.00   -99.00     1.28000e-16  1.68291e-17      1690.00  2.28000e-17  1.10026e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  3.94000e-17  1.88090e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   16   0.37760   10.08    1.21   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  6.87000e-16  7.59497e-17      56.6500  3.51500e-16  6.30099e-17     -1.00000     -1.00000  4.05500e-17  1.78966e-17  1.00400e-16  4.44973e-17       0      3.00000
Par9   22   0.37780    9.54    1.02   -99.00   -99.00   -99.00        -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.58500e-15  5.96091e-17      218.000  3.05500e-16  4.41237e-17     -1.00000     -1.00000  1.23000e-16  1.39443e-17  3.04500e-16  3.45776e-17       0      3.00000
Par9   33   0.84890   10.01    1.50   -99.00   -99.00   -99.00     2.50000e-16  5.86899e-17      54.0000  1.40000e-16  6.30739e-17  9.15000e-16  6.97207e-17      257.000  1.30000e-16  6.44881e-17     -1.00000     -1.00000  7.09000e-17  7.93374e-17     -1.00000     -1.00000       0      3.00000
Par9   59   0.85730    9.16    0.97   -99.00   -99.00   -99.00     5.80000e-16  3.42240e-17      82.1000  1.08000e-16  2.87085e-17  3.82000e-16  2.37588e-17      87.8000      0.00000  2.79283e-17     -1.00000     -1.00000      0.00000  4.14605e-17     -1.00000     -1.00000       0      3.00000
Par9   70   0.91730    9.48    0.98   -99.00   -99.00   -99.00     4.78000e-17  2.89914e-17      67.8000  7.70000e-17  2.70115e-17  2.84000e-16  2.89914e-17      388.000  3.17000e-17  2.27688e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   71   1.05030    9.79    1.57   -99.00   -99.00   -99.00         0.00000  1.50240e-17      0.00000  6.12000e-18  2.02233e-17  1.27500e-16  2.24931e-17      313.000  4.28500e-17  1.93104e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   78   0.93050    9.32    0.95   -99.00   -99.00   -99.00     1.12000e-16  2.67286e-17      116.000  2.55000e-17  2.37588e-17  9.82000e-17  2.10718e-17      114.000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   84   1.90240   10.35    2.41   -99.00   -99.00   -99.00     1.39500e-16  2.79315e-17      143.500  1.27500e-17  2.19920e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  5.68000e-17  2.34139e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   91   1.45740    9.24    1.12   -99.00   -99.00   -99.00     5.08000e-16  2.33345e-17      1070.00  8.14000e-17  1.89505e-17  2.26000e-16  1.47078e-17      441.000  3.04000e-18  1.48492e-17  1.10000e-16  2.34759e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   117   0.79370    9.04   -0.08   -99.00   -99.00   -99.00     2.24000e-16  3.29512e-17      128.000  7.68000e-17  3.33754e-17  1.60000e-16  2.20617e-17      90.9000  2.51000e-17  2.02233e-17     -1.00000     -1.00000      0.00000  2.00105e-17     -1.00000     -1.00000       0      3.00000
Par9   131   1.24975    9.61    0.85   -99.00   -99.00   -99.00     1.54500e-16  2.70485e-17      64.5000      0.00000  2.44182e-17  1.65000e-16  1.88112e-17      186.500  8.63000e-18  1.59113e-17  1.59000e-16  1.59000e-16     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par9   143   1.32950    9.81    0.10   -99.00   -99.00   -99.00     7.26000e-17  3.78335e-17      114.000  2.80500e-17  4.19630e-17  1.27500e-16  2.34764e-17      286.500      0.00000  1.86188e-17  1.00950e-16  4.97097e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
